,X,Y,Z,U,V,W
1 days 10:45:00,5235.241116712789,4389.715367857636,-1180.937839875846,-3.7560089636448812,2.890747743239222,-5.918252386012216
1 days 10:46:40,4829.083727436585,4651.96248256857,-1764.49753780572,-4.359029297680892,2.349002862114017,-5.741287496068328
1 days 10:48:20,4365.182606077984,4858.5844438620925,-2326.901020721866,-4.909732932843745,1.779357562793721,-5.495554421971776
1 days 10:50:00,3849.10362313664,5007.131047923169,-2861.414367105192,-5.4015570130982615,1.1886583337353203,-5.184054623356828
1 days 10:51:40,3287.0325677742703,5095.849555679843,-3361.6443092571726,-5.828662200057711,0.5839878081084899,-4.810574520338481
1 days 10:53:20,2685.7011248549366,5123.703538985988,-3821.612568439727,-6.185997435340947,-0.027421233741080683,-4.379635014961437
1 days 10:55:00,2052.3033355134107,5090.383679691753,-4235.827926821996,-6.469356297403214,-0.6382757953917355,-3.8964305338189678
1 days 10:56:40,1394.410849628613,4996.309445421149,-4599.34889730285,-6.675419354145973,-1.2413075198441403,-3.3667637082810487
1 days 10:58:20,719.8804494100335,4842.622172249185,-4907.842226910826,-6.80178721964491,-1.8293591744199582,-2.7969715377156517
1 days 11:00:00,36.763034698071955,4631.170250975517,-5157.631456212203,-6.8470010920377975,-2.395464125862476,-2.1938504379982033
1 days 11:01:40,-646.7929717626354,4364.485681870693,-5345.739725426957,-6.810553972717843,-2.9329256647713975,-1.564574771282706
1 days 11:03:20,-1322.636106645846,4045.75352784781,-5469.923055800157,-6.692891342278922,-3.4353897406238163,-0.9166152182342513
1 days 11:05:00,-1982.7059757425875,3678.7746350798516,-5528.695758959578,-6.495403198362632,-3.8969134987641976,-0.25765567747008233
1 days 11:06:40,-2619.1287991110644,3267.920241480593,-5521.347714161632,-6.22040665177003,-4.312031196683505,0.4044936441380197
1 days 11:08:20,-3224.30683612372,2818.08248136865,-5447.952624420676,-5.871121162887881,-4.67581261299027,1.061979972546177
1 days 11:10:00,-3791.0090007366593,2334.616654544499,-5309.367826616567,-5.451634036661992,-4.983919457834099,1.7069964151858428
1 days 11:11:40,-4312.453733712366,1823.280987952489,-5107.225715020117,-4.96685968946148,-5.232654259630737,2.331866402628077
1 days 11:13:20,-4782.391019284643,1290.1686763354746,-4843.915837383262,-4.422488113797811,-5.419005997290791,2.9291321709579283
1 days 11:15:00,-5195.175480039449,741.6389298915662,-4522.559464121716,-3.8249277007118816,-5.540688025919591,3.4916386001010538
1 days 11:16:40,-5545.836334784147,184.24113628132432,-4146.97414219157,-3.1812360631196985,-5.596170786481903,4.012619727257999
1 days 11:18:20,-5830.13735407148,-375.3603673477095,-3721.63175408255,-2.499045725675994,-5.58470611701507,4.48577945912198
1 days 11:20:00,-6044.631200291431,-930.4671192964678,-3251.606246989782,-1.786477180555954,-5.5063438299527405,4.905372564468687
1 days 11:21:40,-6186.702832986531,-1474.4249755396122,-2742.51620103545,-1.0520479035496553,-5.361938953791475,5.266278014582414
1 days 11:23:20,-6254.604807633617,-2000.7063410472722,-2200.4573336999892,-0.3045693545903137,-5.153148667129368,5.564069253198516
1 days 11:25:00,-6247.4810291393305,-2502.9880779591285,-1631.9316007438467,0.4469578699608884,-4.882419254384244,5.795074515417372
1 days 11:26:40,-6165.380192129917,-2975.2309314577656,-1043.7672273086787,1.1934586456936493,-4.552960805011838,5.956430266155514
1 days 11:28:20,-6009.257626537532,-3411.7526433414732,-443.0375497002756,1.9258963821160389,-4.16871218088224,6.046122537334136
1 days 11:30:00,-5780.96523287006,-3807.300036430351,163.0274743648839,2.635392071626485,-3.734293008180486,6.063017881305632
1 days 11:31:40,-5483.230543641941,-4157.112970177208,767.1283773412811,3.3133375928353677,-3.254947465358323,6.0068809461289385
1 days 11:33:20,-5119.623136395983,-4456.984725724571,1361.9882828196123,3.951510322474652,-2.7364758970141083,5.878379232932394
1 days 11:35:00,-4694.511750243674,-4703.312881912228,1940.4409431424847,4.542177789396446,-2.1851610366425955,5.679074636932865
1 days 11:36:40,-4213.00896754162,-4893.144381983463,2495.521087485117,5.078198959912466,-1.6076842312259632,5.41140128493391
1 days 11:38:20,-3680.9089442406303,-5024.210369591602,3020.548214797487,5.553112245069624,-1.0110399528891276,5.078631928854737
1 days 11:40:00,-3104.6137799704848,-5094.95350767463,3509.210000360404,5.961216336755577,-0.40244333026166,4.684831322735014
1 days 11:41:40,-2491.055797285419,-5104.545110731658,3955.637147434231,6.297636022417283,0.2107601946254945,4.234801235271481
1 days 11:43:20,-1847.610161091639,-5052.893682330499,4354.475416732337,6.558378431544678,0.8211890451397592,3.7340142818732485
1 days 11:45:00,-1182.006437231454,-4940.644033542986,4700.9477934730085,6.740374309433117,1.4215143002118376,3.1885431070814776
1 days 11:46:40,-502.23280064273195,-4769.167399153446,4990.911718218445,6.841508727477762,2.004549442677491,2.6049809274286004
1 days 11:48:20,183.55960545553413,-4540.542970256289,5220.906519130967,6.860638492271995,2.563333911719613,1.990359539192241
1 days 11:50:00,867.1534147054705,-4257.531641245719,5388.192829197237,6.797598704909957,3.09121234218773,1.3520644281238983
1 days 11:51:40,1540.3646614608074,-3923.5409348115636,5490.784080444252,6.653198420249889,3.581911047791999,0.6977452045269582
1 days 11:53:20,2195.1373491992335,-3542.5842993211177,5527.468030252043,6.429206466868951,4.02960600981239,0.03522857854510002
1 days 11:55:00,2823.6404386527724,-3119.2317413596716,5497.820213060484,6.12832713914792,4.428988650788084,-0.627573380784689
1 days 11:56:40,3418.3577545958888,-2658.556604423595,5402.207979004903,5.754168078651806,4.775322982523408,-1.2827508410407389
